,title,date
0,مشروع قانون استرشادي بشأن عقوبة الاعدام و ضمانات تطبيقها في الدول العربية,2019-11-05
1,مشروع قانون عدد 2019/73 يتعلق بإحالة ممتلكات وحقوق والتزامات الدولة المتعلقة بالمعابر الحدودية البرية إلى الديوان الوطني للمعابر الحدودية البرية,2019-10-24
2,مشروع قانون عدد 2019/72 يتعلق بقانون المالية لسنة 2020,2019-10-18
3,مشروع قانون عدد 2019/71 يتعلق بقانون المالية التكميلي لسنة 2019,2019-10-18
4,مشروع قانون عدد 2019/70 يتعلق بتنظيم ممارسة المؤسسات الخاصة لنشاط توظيف التونسيين بالخارج,2019-10-09
5,مشروع قانون عدد 2019/68 يتعلق بالموافقة على اتفاق التعاون المالي بعنوان سنة 2017 بين حكومة الجمهورية التونسية وحكومة جمهورية المانيا الاتحادية,2019-10-08
6,مشروع قانون عدد 2019/67 يتعلق بالترخيص للدولة في الاكتتاب في راس مال البنك الأسيوي للاستثمار في البنية التحتية,2019-10-08
7,مشروع قانون أساسي عدد 2019/69 يتعلق بالموافقة على الاتفاق المؤسس لمنطقة التجارة الحرّة القارّية الإفريقية,2019-10-03
8,مشروع قانون أساسي عدد 2019/66 يتعلق بإصدار مجلة المياه,2019-10-03
9,مشروع قانون عدد 2019/65 يتعلق بغلق الميزانية لسنة 2017,2019-9-10
10,مشروع قانون أساسي عدد 2019/64 يتعلق بالموافقة على بروتوكول اتفاق ممضى في 30 مارس 2019 بين حكومة الجمهورية التونسية وحكومة الجمهورية الإيطالية حول برنامج تحسين البنية التحتية والخدمات المدرسية في المرحلة الابتدائية وملحقيه,2019-9-10
11,مشروع قانون أساسي عدد 2019/63 يتعلق بالموافقة على التعديلين المدخلين على ميثاق منظمة المؤتمر الإسلامي والمتعلقين بتغيير اسم منظمة المؤتمر الإسلامي وبدورية انعقاد القمة الإسلامية,2019-9-10
12,مشروع قانون عدد 2019/62 يتعلّق بالترخيص للدولة في الإكتتاب في رأس مال شركة التصرّف في المركب التكنولوجي بمنوبة,2019-9-10
13,مقترح قانون عدد 2019/60 يتعلق بتنقيح الفصل 47 من القانون الأساسي عدد 16 لسنة 2014 المؤرخ في 26 ماي 2014 المتعلق بالإنتخابات والإستفتاء,2019-8-06
14,مقترح قانون عدد 2019/59 يتعلق بتنقيح القانون الأساسي عدد 16 لسنة 2014 المؤرخ في 26 ماي 2014 المتعلق بالإنتخابات والإستفتاء,2019-8-05
15,مشروع قانون عدد 2019/58 يتعلق بالموافقة على برتكول اتفاق بين حكومة الجمهورية التونسية و حكومة الجمهورية الايطالية متعلق ببرنامج دعم القطاع الخاص والإدماج المالي في مجالي الفلاحة والاقتصاد الاجتماعي والتضامني واتفاق تسهيل القروض بين البنك المركزي التونسي وصندوق الودائع والقروض الايطالي المبرمين في 18 مارس 2019,2019-7-10
16,مشروع قانون أساسي عدد 2019/57 يتعلق بالموافقة على اتفاق مبرم في 15 أفريل 2019 بين حكومة الجمهورية التونسية والمنظمة الدولية للفرنكوفونية بشأن انتصاب مكتب إقليمي لشمال افريقيا للمنظمة بتونس,2019-7-10
17,مشروع قانون عدد 2019/56 يتعلق بالموافقة على اتفاق تعاون مالي بعنوان سنة 2016 بين حكومة الجمهورية التونسية وحكومة جمهورية ألمانيا الاتحادية,2019-7-10
18,مشروع قانون عدد 2019/55 يتعلق بالموافقة على اتفاق القرض المبرم في 13 جوان 2019 بين الجمهورية التونسية والبنك الافريقي للتنمية لتمويل برنامج دعم تعصير القطاع المالي (المرحلة 2),2019-7-10
19,مقترح قانون عدد 2019/54 يتعلق بتنقيح القانون عدد 33 لسنة 1969 المؤرخ قي 12 جوان 1969 المتعلق بضبط توريد الأسلحة والإتجار فيها ومسكها وحملها,2019-6-13
20,مشروع قانون أساسي عدد 2019/53 يتعلق بالموافقة على اتفاق بين حكومة الجمهورية التونسية وحكومة الجمهورية الفرنسية حول إقامة مكتب للوكالة الفرنسية للخبرة الفنية الدولية في تونس,2019-6-12
21,"مشروع قانون أساسي عدد 2019/52 يتعلق بالموافقة على اتفاق بين حكومة الجمهورية التونسية وحكومة الولايات المتحدة الأمريكية لتحسين الامتثال الضريبي الدولي وتطبيق قانون الامتثال الضريبي للحسابات الأجنبية ""فاتكا"" وملحقيه",2019-6-12
22,مشروع قانون عدد 2019/51 يتعلق بتنقيح القانون عدد 102 لسنة 2005 المؤرخ في 8 نوفمبر 2005 المتعلق بنقل الغاز الطبيعي جزائري المصدر عبر البلاد التونسية وبضبط الإتاوة الراجعة إلى الدولة التونسية والموظفة على الكميات المنقولة,2019-6-12
23,مشروع قانون عدد 2019/50 يتعلق بالموافقة على الاتفاق الخاص بالتصرف في انبوب الغاز العابر للبلاد التونسية وملحقاته,2019-6-12
24,مقترح قانون عدد 2019/49 يتعلق بتنظيم ملك الدولة الخاص,2019-5-29
25,مشروع قانون أساسي عدد 2019/48 يتعلق بالموافقة على اتفاق بين حكومة الجمهورية التونسية وحكومة دولة قطر بشان الخدمات الجوية بين اقليمهما وما ورائهما,2019-5-22
26,مشروع قانون عدد 2019/45 يتعلق بالموافقة على اتفاقية الضمان المبرمة بتاريخ 4 أفريل 2019 بين الجمهورية التونسية والبنك الاسلامي للتنمية والمتعلقة باتفاقية البيع لاجل المبرمة في نفس التاريخ بين الشركة التونسية للكهرباء والغاز والبنك المذكور للمساهمة في تمويل مشروع نقل الغاز الطبيعي,2019-5-22
27,مشروع قانون عدد 2019/44 يتعلق بالموافقة على اتفاقية القرض المبرمة بتاريخ 29 مارس 2019 بين الجمهورية التونسية والصندوق السعودي للتنمية للمساهمة في تمويل مشروع حماية المدن والمناطق العمرانية من الفيضانات,2019-5-22
28,مشروع قانون عدد 2019/43 يتعلق بتنقيح وإتمام مجلة المحاسبة العمومية,2019-5-22
29,مشروع قانون عدد 2019/42 يتعلق بالترخيص للدولة في الاكتتاب في الزيادة في راس مال شركة تونس الطرقات السيارة,2019-5-22
