Unnamed: 0,date,file_path,debate_title,country
0,2010-10-11,Data/speeches/UK/cademy Schools 2010-10-11.json,Academy Schools,2.0
1,2010-10-14,Data/speeches/UK/dult and Community Learning 2010-10-14.json,Adult and Community Learning,2.0
2,2010-10-14,Data/speeches/UK/dult Education 2010-10-14.json,Adult Education,2.0
3,2010-10-20,Data/speeches/UK/hmadiyya Community 2010-10-20.json,Ahmadiyya Community,2.0
4,2010-10-18,Data/speeches/UK/llotments 2010-10-18.json,Allotments,2.0
5,2010-10-14,Data/speeches/UK/nti-Slavery Day 2010-10-14.json,Anti-Slavery Day,2.0
6,2010-10-14,Data/speeches/UK/pprenticeships 2010-10-14 (1).json,Apprenticeships,2.0
7,2010-10-14,Data/speeches/UK/pprenticeships 2010-10-14.json,Apprenticeships,2.0
9,2010-10-11,Data/speeches/UK/rgentina_ Falkland Islands 2010-10-11.json,Argentina: Falkland Islands,2.0
10,2010-10-07,Data/speeches/UK/rrangement of Business 2010-10-07.json,Arrangement of Business,2.0
15,2010-10-20,Data/speeches/UK/rrangement of Business 2010-10-20.json,Arrangement of Business,2.0
17,2010-10-11,Data/speeches/UK/ttainment League Tables 2010-10-11.json,Attainment League Tables,2.0
18,2010-10-14,Data/speeches/UK/udit Commission 2010-10-14.json,Audit Commission,2.0
20,2010-10-06,Data/speeches/UK/ahrain 2010-10-06.json,Bahrain,2.0
21,2010-10-06,Data/speeches/UK/ank of England_ Economic Forecast 2010-10-06.json,Bank of England: Economic Forecast,2.0
22,2010-10-14,Data/speeches/UK/anking in Scotland 2010-10-14.json,Banking in Scotland,2.0
23,2010-10-21,Data/speeches/UK/BC and British Council 2010-10-21.json,BBC and British Council,2.0
24,2010-10-12,Data/speeches/UK/BC_ Licence Fee 2010-10-12.json,BBC: Licence Fee,2.0
25,2010-10-18,Data/speeches/UK/enefit Dependency 2010-10-18.json,Benefit Dependency,2.0
26,2010-10-18,Data/speeches/UK/enefit Fraud 2010-10-18.json,Benefit Fraud,2.0
27,2010-10-21,Data/speeches/UK/ig Society Vanguard Communities 2010-10-21.json,Big Society Vanguard Communities,2.0
28,2010-10-13,Data/speeches/UK/loody Sunday Inquiry 2010-10-13.json,Bloody Sunday Inquiry,2.0
29,2010-10-13,Data/speeches/UK/ogus Charity Bag Collections 2010-10-13.json,Bogus Charity Bag Collections,2.0
30,2010-10-12,Data/speeches/UK/udget (Regional Differences) 2010-10-12.json,Budget (Regional Differences),2.0
32,2010-10-11,Data/speeches/UK/uilding Schools for the Future 2010-10-11.json,Building Schools for the Future,2.0
34,2010-10-14,Data/speeches/UK/usiness of the House 2010-10-14.json,Business of the House,2.0
36,2010-10-21,Data/speeches/UK/usiness of the House 2010-10-21.json,Business of the House,2.0
37,2010-10-14,Data/speeches/UK/usiness Regulation 2010-10-14.json,Business Regulation,2.0
42,2010-10-14,"Data/speeches/UK/usiness, Innovation and Skills 2010-10-14.json","Business, Innovation and Skills",2.0
43,2010-10-20,Data/speeches/UK/abinet Office 2010-10-20.json,Cabinet Office,2.0
46,2010-10-18,Data/speeches/UK/arer’s Allowance 2010-10-18.json,Carer’s Allowance,2.0
47,2010-10-12,Data/speeches/UK/hild Benefit 2010-10-12.json,Child Benefit,2.0
48,2010-10-18,Data/speeches/UK/hild Support 2010-10-18 (1).json,Child Support,2.0
49,2010-10-18,Data/speeches/UK/hild Support 2010-10-18.json,Child Support,2.0
50,2010-10-19,Data/speeches/UK/hild Trust Fund (Looked-after Children) 2010-10-19.json,Child Trust Fund (Looked-after Children),2.0
