,name,party,startDate,endDate
0,ناجي الجمل,كتلة حركة النهضة,2019-12-01,
1,ناجي الجمل,حركة النهضة,2014-12-01,2019-12-01
2,النذير بن عمو,كتلة الولاء للوطن,2018-12-01,2019-12-01
3,النذير بن عمو,حركة النهضة,2014-12-01,2017-12-01
4,هاجر بالشيخ أحمد,الائتلاف الوطني,2018-12-01,2019-12-01
5,هاجر بالشيخ أحمد,كتلة الولاء للوطن,2018-12-01,2018-12-01
6,هاجر بالشيخ أحمد,آفاق تونس ونداء التونسيين بالخارج,2016-12-01,2018-12-01
7,حمد الخصخوصي,كتلة الولاء للوطن,2018-12-01,2019-12-01
8,حمد الخصخوصي,الكتلة الديمقراطية,2016-12-01,2017-12-01
9,حمد الخصخوصي,الكتلة الاجتماعية الديمقراطية,2014-12-01,2016-12-01
10,حافظ الزواري,كتلة الاصلاح,2019-12-01,
11,حافظ الزواري,الائتلاف الوطني,2018-12-01,2019-12-01
12,حافظ الزواري,آفاق تونس ونداء التونسيين بالخارج,2014-12-01,2018-12-01
13,كمال ذوادي,حركة نداء تونس,2014-12-01,2019-12-01
14,سليم بسباس,حركة النهضة,2014-12-01,2019-12-01
15,وفاء عطية,كتلة حركة النهضة,2019-12-01,
16,وفاء عطية,حركة النهضة,2015-12-01,2019-12-01
17,عمار عمروسيه,الجبهة الشعبية,2014-12-01,2019-12-01
18,نجلاء سعداوي,حركة نداء تونس,2014-12-01,2019-12-01
19,خميس قسيلة,كتلة الولاء للوطن,2018-12-01,2019-12-01
20,خميس قسيلة,حركة نداء تونس,2014-12-01,2017-12-01
21,درة يعقوبي,حركة نداء تونس,2019-12-01,2019-12-01
22,درة يعقوبي,حركة نداء تونس,2018-12-01,2019-12-01
23,درة يعقوبي,الائتلاف الوطني,2018-12-01,2018-12-01
24,درة يعقوبي,الإتحاد الوطني الحر,2014-12-01,2018-12-01
25,أمل سويد,حركة النهضة,2014-12-01,2019-12-01
26,فريدة عبيدي,كتلة حركة النهضة,2019-12-01,
27,فريدة عبيدي,حركة النهضة,2014-12-01,2019-12-01
28,سامية عبو,الكتلة الديمقراطية,2019-12-01,
29,سامية عبو,الكتلة الديمقراطية,2016-12-01,2019-12-01
30,محمد الراشدي بوقرة,الائتلاف الوطني,2018-12-01,2019-12-01
31,محمد الراشدي بوقرة,حركة نداء تونس,2016-12-01,2018-12-01
32,محمد الراشدي بوقرة,كتلة الحرّة لحركة مشروع تونس,2016-12-01,2016-12-01
33,محمد الراشدي بوقرة,حركة نداء تونس,2014-12-01,2016-12-01
34,لمياء الدريدي,الائتلاف الوطني,2018-12-01,2019-12-01
35,لمياء الدريدي,حركة نداء تونس,2016-12-01,2018-12-01
36,أحمد مشرڨي,حركة النهضة,2014-12-01,2019-12-01
37,فاطمة المسدي,حركة نداء تونس,2016-12-01,2019-12-01
38,فاطمة المسدي,كتلة الحرّة لحركة مشروع تونس,2016-12-01,2016-12-01
39,فاطمة المسدي,حركة نداء تونس,2014-12-01,2016-12-01
40,كلثوم بدرالدين,حركة النهضة,2014-12-01,2019-12-01
41,عدنان حاجي,مستقل,2020-12-01,
42,عدنان حاجي,الكتلة الديمقراطية,2019-12-01,2020-12-01
43,عدنان حاجي,كتلة الولاء للوطن,2018-12-01,2019-12-01
44,عدنان حاجي,الكتلة الديمقراطية,2016-12-01,2017-12-01
45,عدنان حاجي,الكتلة الاجتماعية الديمقراطية,2014-12-01,2016-12-01
46,أحمد الصديق,الجبهة الشعبية,2015-12-01,2019-12-01
47,أحمد الصديق,الجبهة الشعبية,2014-12-01,2015-12-01
48,محمد الطرودي,كتلة الحرّة لحركة مشروع تونس,2016-12-01,2019-12-01
49,محمد الطرودي,حركة نداء تونس,2014-12-01,2016-12-01
50,شهيدة فرج,حركة النهضة,2014-12-01,2019-12-01
51,البشير اللزام,حركة النهضة,2014-12-01,2019-12-01
52,فيصل خليفة,حركة نداء تونس,2014-12-01,2019-12-01
53,نور الدين بن عاشور,كتلة الولاء للوطن,2018-12-01,2019-12-01
54,نور الدين بن عاشور,كتلة الحرّة لحركة مشروع تونس,2017-12-01,2017-12-01
55,نور الدين بن عاشور,حركة نداء تونس,2016-12-01,2016-12-01
56,نور الدين بن عاشور,الإتحاد الوطني الحر,2016-12-01,2016-12-01
57,نور الدين بن عاشور,الإتحاد الوطني الحر,2014-12-01,2016-12-01
58,يوسف الجويني,حركة نداء تونس,2019-12-01,2019-12-01
59,يوسف الجويني,حركة نداء تونس,2018-12-01,2018-12-01
60,يوسف الجويني,الائتلاف الوطني,2018-12-01,2018-12-01
61,يوسف الجويني,الإتحاد الوطني الحر,2018-12-01,2018-12-01
62,يوسف الجويني,حركة نداء تونس,2016-12-01,2017-12-01
63,يوسف الجويني,الإتحاد الوطني الحر,2014-12-01,2016-12-01
64,محمد الهادي قديش,كتلة الحرّة لحركة مشروع تونس,2019-12-01,2019-12-01
