,name,party,house,startDate,endDate
0,Sarah Atherton,Conservative,1.0,2019-12-12T00:00:00,
1,Lord Turnbull,Crossbench,2.0,2005-10-11T00:00:00,
2,Mr Andrew Mitchell,Conservative,1.0,1987-06-11T00:00:00,2015-03-30T00:00:00
3,Mr Andrew Mitchell,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
4,Mr Andrew Mitchell,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
5,Mr Andrew Mitchell,Conservative,1.0,2019-12-12T00:00:00,
6,Lord Palumbo of Southwark,Liberal Democrat,2.0,2013-10-02T00:00:00,
7,Mr Phil Willis,Liberal Democrat,1.0,1997-05-01T00:00:00,
8,Mr Phil Willis,Liberal Democrat,1.0,2010-06-18T00:00:00,
9,Rob Roberts,Independent,1.0,2021-05-25T00:00:00,
10,Rob Roberts,Conservative,1.0,2019-12-12T00:00:00,2021-05-25T00:00:00
11,Margaret Beckett,Labour,1.0,1974-10-10T00:00:00,2015-03-30T00:00:00
12,Margaret Beckett,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
13,Margaret Beckett,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
14,Margaret Beckett,Labour,1.0,2019-12-12T00:00:00,
15,Katherine Fletcher,Conservative,1.0,2019-12-12T00:00:00,
16,Mr Oliver Heald,Conservative,1.0,1992-04-09T00:00:00,2015-03-30T00:00:00
17,Mr Oliver Heald,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
18,Mr Oliver Heald,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
19,Mr Oliver Heald,Conservative,1.0,2019-12-12T00:00:00,
20,Jim McMahon,Labour,1.0,2015-12-03T00:00:00,2017-05-03T00:00:00
21,Jim McMahon,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
22,Jim McMahon,Labour,1.0,2019-12-12T00:00:00,
23,Jane Stevenson,Conservative,1.0,2019-12-12T00:00:00,
24,Taiwo Owatemi,Labour,1.0,2019-12-12T00:00:00,
25,David Howell,Conservative,1.0,1997-06-06T00:00:00,
26,David Howell,Conservative,1.0,1966-03-31T00:00:00,1997-05-01T00:00:00
27,Guy Opperman,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
28,Guy Opperman,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
29,Guy Opperman,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
30,Guy Opperman,Conservative,1.0,2019-12-12T00:00:00,
31,Baroness Jones of Moulsecoomb,Green Party,2.0,2013-09-20T00:00:00,
32,Flick Drummond,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
33,Flick Drummond,Conservative,1.0,2019-12-12T00:00:00,
34,Robin Walker,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
35,Robin Walker,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
36,Robin Walker,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
37,Robin Walker,Conservative,1.0,2019-12-12T00:00:00,
38,Mr Graham Stuart,Conservative,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
39,Mr Graham Stuart,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
40,Mr Graham Stuart,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
41,Mr Graham Stuart,Conservative,1.0,2019-12-12T00:00:00,
42,Baroness Moyo,Conservative,2.0,2022-11-08T00:00:00,
43,Mrs Irene Adams,Labour,1.0,1990-11-29T00:00:00,2005-05-05T00:00:00
44,Mrs Irene Adams,Labour,1.0,2005-06-28T00:00:00,
45,Baroness Janke,Liberal Democrat,2.0,2014-09-24T00:00:00,
46,Lord Northbrook,Conservative,2.0,1991-09-23T00:00:00,
47,Baroness Suttie,Liberal Democrat,2.0,2013-09-17T00:00:00,
48,Anum Qaisar-Javed,Scottish National Party,1.0,2021-05-13T00:00:00,
49,Lord Truscott,Labour,2.0,2004-06-10T00:00:00,2009-05-13T00:00:00
50,Lord Truscott,Non-affiliated,2.0,2009-05-14T00:00:00,2015-07-13T00:00:00
51,Lord Truscott,Independent Labour,2.0,2015-07-13T00:00:00,2021-02-08T00:00:00
52,Lord Truscott,Non-affiliated,2.0,2021-02-08T00:00:00,
53,Seema Malhotra,Labour,1.0,2011-12-15T00:00:00,2015-03-30T00:00:00
54,Seema Malhotra,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
55,Seema Malhotra,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
56,Seema Malhotra,Labour,1.0,2019-12-12T00:00:00,
57,Lord Glasman,Labour,2.0,2011-02-04T00:00:00,
58,Stephen Doughty,Labour,1.0,2012-11-15T00:00:00,2015-03-30T00:00:00
59,Stephen Doughty,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
60,Stephen Doughty,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
61,Stephen Doughty,Labour,1.0,2019-12-12T00:00:00,
62,Mr John Maxton,Labour,1.0,1979-05-03T00:00:00,2001-06-07T00:00:00
63,Mr John Maxton,Labour,1.0,2004-06-17T00:00:00,
64,Huw Merriman,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
65,Huw Merriman,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
66,Huw Merriman,Conservative,1.0,2019-12-12T00:00:00,
67,Lord Bach,Labour,2.0,1998-07-27T00:00:00,
68,Hugh Dykes,Conservative,1.0,1970-06-18T00:00:00,1997-09-01T00:00:00
69,Hugh Dykes,Liberal Democrat,1.0,2004-06-21T00:00:00,2015-07-15T00:00:00
70,Hugh Dykes,Non-affiliated,1.0,2015-07-15T00:00:00,2016-09-07T00:00:00
71,Hugh Dykes,Crossbench,1.0,2016-09-07T00:00:00,
72,Paul Howell,Conservative,1.0,2019-12-12T00:00:00,
73,Lord Dear,Crossbench,2.0,2006-06-15T00:00:00,
74,Alok Sharma,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
75,Alok Sharma,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
76,Alok Sharma,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
77,Alok Sharma,Conservative,1.0,2019-12-12T00:00:00,
78,Baroness Butler-Sloss,Crossbench,2.0,2006-06-13T00:00:00,
79,The Lord Archbishop of York,Bishops,2.0,2005-11-23T00:00:00,2020-06-07T00:00:00
80,The Lord Archbishop of York,Crossbench,2.0,2021-04-27T00:00:00,
81,Alex Sobel,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
82,Alex Sobel,Labour,1.0,2019-12-12T00:00:00,
83,Kerry McCarthy,Labour,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
84,Kerry McCarthy,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
85,Kerry McCarthy,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
86,Kerry McCarthy,Labour,1.0,2019-12-12T00:00:00,
87,Lord Wood of Anfield,Labour,2.0,2011-01-15T00:00:00,
88,Helen Whately,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
89,Helen Whately,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
90,Helen Whately,Conservative,1.0,2019-12-12T00:00:00,
91,Mike Freer,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
92,Mike Freer,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
93,Mike Freer,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
94,Mike Freer,Conservative,1.0,2019-12-12T00:00:00,
95,Baroness Bakewell,Labour,2.0,2011-01-21T00:00:00,
96,Lord Goldsmith,Labour,2.0,1999-07-29T00:00:00,
97,Paul Scully,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
98,Paul Scully,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
99,Paul Scully,Conservative,1.0,2019-12-12T00:00:00,
100,Simon Jupp,Conservative,1.0,2019-12-12T00:00:00,
101,Lord Birt,Crossbench,2.0,2000-02-11T00:00:00,
102,Lord Deighton,Conservative,2.0,2012-11-01T00:00:00,
103,Sir Ian Wrigglesworth,Liberal Democrat,1.0,2013-09-05T00:00:00,
104,Sir Ian Wrigglesworth,Labour,1.0,1974-02-28T00:00:00,1981-03-01T00:00:00
105,Sir Ian Wrigglesworth,Social Democratic Party,1.0,1981-03-02T00:00:00,1987-06-11T00:00:00
106,Mrs Emma Lewell-Buck,Labour,1.0,2013-05-02T00:00:00,2015-03-30T00:00:00
107,Mrs Emma Lewell-Buck,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
108,Mrs Emma Lewell-Buck,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
109,Mrs Emma Lewell-Buck,Labour,1.0,2019-12-12T00:00:00,
110,Lord Phillips of Worth Matravers,Crossbench,2.0,1999-01-12T00:00:00,2009-09-30T00:00:00
111,Lord Phillips of Worth Matravers,Crossbench,2.0,2012-10-01T00:00:00,
112,Lord Phillips of Worth Matravers,Non-affiliated,2.0,2009-10-01T00:00:00,2012-09-30T00:00:00
113,The Lord Bishop of Southwell and Nottingham,Bishops,2.0,2022-04-19T00:00:00,
114,Lord Sugar,Labour,2.0,2009-07-20T00:00:00,2015-05-11T00:00:00
115,Lord Sugar,Non-affiliated,2.0,2015-05-11T00:00:00,2017-10-09T00:00:00
116,Lord Sugar,Crossbench,2.0,2017-10-09T00:00:00,
117,Mr Edward Davey,Liberal Democrat,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
118,Mr Edward Davey,Liberal Democrat,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
119,Mr Edward Davey,Liberal Democrat,1.0,2019-12-12T00:00:00,
120,Baroness Coussins,Crossbench,2.0,2007-03-23T00:00:00,
121,Lord Johnson of Lainston,Conservative,2.0,2022-10-19T00:00:00,
122,Baroness Crawley,Labour,2.0,1998-07-24T00:00:00,
123,Maria Eagle,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
124,Maria Eagle,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
125,Maria Eagle,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
126,Maria Eagle,Labour,1.0,2019-12-12T00:00:00,
127,Jane Stevenson,Conservative,1.0,2019-12-12T00:00:00,
128,Michael Ellis,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
129,Michael Ellis,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
130,Michael Ellis,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
131,Michael Ellis,Conservative,1.0,2019-12-12T00:00:00,
132,Baroness O'Grady of Upper Holloway,Labour,2.0,2022-12-09T00:00:00,
