party_id,name,start_date,end_date,KnessetNum
3,ישראל אחת,1999-06-07T00:00:00,2001-05-15T00:00:00,15
4,הליכוד,1999-06-07T00:00:00,2003-02-17T00:00:00,15
5,"ש""ס",1999-06-07T00:00:00,2003-02-17T00:00:00,15
6,מרצ,1999-06-07T00:00:00,2003-02-17T00:00:00,15
7,האיחוד הלאומי - ישראל ביתנו,2000-02-01T00:00:00,2003-02-17T00:00:00,15
8,שינוי,1999-06-07T00:00:00,2003-02-17T00:00:00,15
9,מפלגה דתית לאומית,1999-06-07T00:00:00,2003-02-17T00:00:00,15
10,יהדות התורה,1999-06-07T00:00:00,2003-02-17T00:00:00,15
11,ישראל בעלייה,1999-06-07T00:00:00,2003-02-17T00:00:00,15
12,גשר,2001-03-07T00:00:00,2003-02-17T00:00:00,15
13,דרך חדשה,2001-03-06T00:00:00,2001-05-07T00:00:00,15
14,"חד""ש",1999-06-07T00:00:00,2003-02-17T00:00:00,15
15,מפלגת המרכז,1999-06-07T00:00:00,2003-02-17T00:00:00,15
16,"רע""ם",1999-06-07T00:00:00,2003-02-17T00:00:00,15
17,הבחירה הדמוקרטית,1999-10-18T00:00:00,2003-02-17T00:00:00,15
18,מפלגה לאומית ערבית,2001-02-19T00:00:00,2003-02-17T00:00:00,15
19,עם אחד,1999-06-07T00:00:00,2003-02-17T00:00:00,15
20,"בל""ד",1999-06-07T00:00:00,2003-02-17T00:00:00,15
21,חרות - התנועה הלאומית,2000-02-01T00:00:00,2003-02-17T00:00:00,15
22,התנועה הערבית להתחדשות,1999-12-21T00:00:00,2003-02-17T00:00:00,15
23,העבודה - מימד,2001-05-15T00:00:00,2003-02-17T00:00:00,15
24,הליכוד,2003-02-17T00:00:00,2006-04-17T00:00:00,16
42,העבודה-מימד בראשות מצנע,2003-02-17T00:00:00,2005-05-23T00:00:00,16
43,שינוי התנועה החילונית,2003-02-17T00:00:00,2005-05-18T00:00:00,16
44,התאחדות הספרדים העולמית שומרי תורה,2003-02-17T00:00:00,2006-04-17T00:00:00,16
45,האיחוד הלאומי - ישראל ביתנו - מולדת - תקומה,2003-02-17T00:00:00,2006-02-01T00:00:00,16
46,מרצ - הבחירה הדמוקרטית - שחר,2003-02-17T00:00:00,2004-06-15T00:00:00,16
47,עם אחד בראשות עמיר פרץ,2003-02-17T00:00:00,2005-05-23T00:00:00,16
48,יהדות התורה והשבת אגודת ישראל - דגל התורה,2003-02-17T00:00:00,2005-01-12T00:00:00,16
49,מפלגה דתית לאומית,2003-02-17T00:00:00,2006-04-17T00:00:00,16
50,"חד""ש - תע""ל",2003-02-17T00:00:00,2006-02-07T00:00:00,16
51,"בל""ד (ברית לאומית דמוקרטית)",2003-02-17T00:00:00,2006-04-17T00:00:00,16
52,הרשימה הערבית המאוחדת,2003-02-17T00:00:00,2006-04-17T00:00:00,16
53,ישראל בעלייה בראשות נתן שרנסקי,2003-02-17T00:00:00,2003-03-10T00:00:00,16
62,יחד והבחירה הדמוקרטית,2004-06-15T00:00:00,2005-07-27T00:00:00,16
83,מפלגת הפועלים המאוחדת,1948-02-14T00:00:00,1949-02-14T00:00:00,0
85,אגודת ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0
87,מפלגת פועלי ארץ ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0
89,תנועת החירות,1948-02-14T00:00:00,1949-02-14T00:00:00,0
91,הציונים הכלליים,1948-02-14T00:00:00,1949-02-14T00:00:00,0
93,האיחוד הארצי של הספרדים,1948-02-14T00:00:00,1949-02-14T00:00:00,0
95,המפלגה הפרוגרסיבית,1948-02-14T00:00:00,1949-02-14T00:00:00,0
97,פועלי אגודת ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0
99,המפלגה הקומוניסטית הישראלית,1948-02-14T00:00:00,1949-02-14T00:00:00,0
101,המזרחי ודתיים בלתי מפלגתיים,1948-02-14T00:00:00,1949-02-14T00:00:00,0
103,"הסתדרות נשים ציוניות ""ויצו""",1948-02-14T00:00:00,1949-02-14T00:00:00,0
105,מפלגת פועלים מאוחדת,1949-02-14T00:00:00,1951-08-20T00:00:00,1
109,מפלגת פועלי ארץ-ישראל,1949-02-14T00:00:00,1951-08-20T00:00:00,1
111,רשימה דמוקרטית של נצרת,1949-02-14T00:00:00,1951-08-20T00:00:00,1
115,תנועת החרות,1949-02-14T00:00:00,1951-08-20T00:00:00,1
117,ציונים כלליים,1949-02-14T00:00:00,1951-08-20T00:00:00,1
119,ספרדים ועדות מזרח,1949-02-14T00:00:00,1951-08-20T00:00:00,1
123,מפלגה פרוגרסיבית,1949-02-14T00:00:00,1951-08-20T00:00:00,1
125,רשימת הלוחמים,1949-02-14T00:00:00,1951-08-20T00:00:00,1
129,מפלגה קומוניסטית ישראלית,1949-02-14T00:00:00,1951-08-20T00:00:00,1
131,חזית דתית מאוחדת,1949-02-14T00:00:00,1951-08-20T00:00:00,1
139,התאחדות התימנים בישראל,1949-02-14T00:00:00,1951-08-20T00:00:00,1
145,"ויצ""ו",1949-02-14T00:00:00,1951-08-20T00:00:00,1
147,מפלגת פועלים מאוחדת,1951-08-20T00:00:00,1955-08-15T00:00:00,2
149,מפלגת פועלי ארץ-ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2
151,רשימה דמוקרטית לערביי ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2
153,תנועת החרות,1951-08-20T00:00:00,1955-08-15T00:00:00,2
155,ציונים כלליים,1951-08-20T00:00:00,1955-08-15T00:00:00,2
159,חקלאות ופיתוח,1951-08-20T00:00:00,1955-08-15T00:00:00,2
161,מפלגה פרוגרסיבית,1951-08-20T00:00:00,1955-08-15T00:00:00,2
163,אחדות העבודה - פועלי ציון,1954-08-23T00:00:00,1955-08-15T00:00:00,2
165,פועלי אגודת ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2
167,מפלגה קומוניסטית ישראלית,1951-08-20T00:00:00,1955-08-15T00:00:00,2
169,מזרחי,1951-08-20T00:00:00,1955-08-15T00:00:00,2
171,אגודת ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2
173,הפועל המזרחי,1951-08-20T00:00:00,1955-08-15T00:00:00,2
179,התאחדות התימנים בישראל,1951-08-20T00:00:00,1951-09-10T00:00:00,2
181,קידמה ועבודה,1951-08-20T00:00:00,1955-08-15T00:00:00,2
183,ספרדים ועדות מזרח,1951-08-20T00:00:00,1951-09-10T00:00:00,2
185,מפלגת פועלים מאוחדת,1955-08-15T00:00:00,1959-11-30T00:00:00,3
189,מפלגת פועלי ארץ-ישראל,1955-08-15T00:00:00,1959-11-30T00:00:00,3
191,רשימה דמוקרטית לערביי ישראל,1955-08-15T00:00:00,1959-11-30T00:00:00,3
193,תנועת החרות,1955-08-15T00:00:00,1959-11-30T00:00:00,3
195,ציונים כלליים,1955-08-15T00:00:00,1959-11-30T00:00:00,3
197,חקלאות ופיתוח,1955-08-15T00:00:00,1959-11-30T00:00:00,3
199,מפלגה פרוגרסיבית,1955-08-15T00:00:00,1959-11-30T00:00:00,3
203,אחדות העבודה - פועלי ציון,1955-08-15T00:00:00,1959-11-30T00:00:00,3
205,מפלגה קומוניסטית ישראלית,1955-08-15T00:00:00,1959-11-30T00:00:00,3
207,חזית דתית לאומית,1955-08-15T00:00:00,1955-10-31T00:00:00,3
209,חזית דתית תורתית,1955-08-15T00:00:00,1955-11-03T00:00:00,3
211,קידמה ועבודה,1955-08-15T00:00:00,1959-11-30T00:00:00,3
213,מפלגת פועלים מאוחדת,1959-11-30T00:00:00,1961-09-04T00:00:00,4
215,אגודת ישראל,1960-08-09T00:00:00,1961-09-04T00:00:00,4
217,קידמה ופיתוח,1959-11-30T00:00:00,1961-09-04T00:00:00,4
219,מפלגת פועלי ארץ-ישראל,1959-11-30T00:00:00,1961-09-04T00:00:00,4
221,תנועת החרות,1959-11-30T00:00:00,1961-09-04T00:00:00,4
223,ציונים כלליים,1959-11-30T00:00:00,1961-05-08T00:00:00,4
225,חקלאות ופיתוח,1959-11-30T00:00:00,1961-09-04T00:00:00,4
227,מפלגה פרוגרסיבית,1959-11-30T00:00:00,1961-05-08T00:00:00,4
229,שיתוף ואחווה,1959-11-30T00:00:00,1961-09-04T00:00:00,4
231,אחדות העבודה - פועלי ציון,1959-11-30T00:00:00,1961-09-04T00:00:00,4
233,פועלי אגודת ישראל,1960-08-09T00:00:00,1961-09-04T00:00:00,4
235,מפלגה קומוניסטית ישראלית,1959-11-30T00:00:00,1961-09-04T00:00:00,4
237,מפלגה דתית לאומית,1959-11-30T00:00:00,1961-09-04T00:00:00,4
