,Unnamed: 0,party_name,country
0,0,كتلة الاصلاح,5
1,1,كتلة حركة النهضة,5
2,2,كتلة الحرّة لحركة مشروع تونس,5
3,3,الكتلة الوطنية,5
4,4,كتلة ائتلاف الكرامة,5
5,5,كتلة الولاء للوطن,5
6,6,الإتحاد الوطني الحر,5
7,7,الجبهة الشعبية,5
8,8,الكتلة الاجتماعية الديمقراطية,5
9,9,الائتلاف الوطني,5
10,10,حركة نداء تونس,5
11,11,آفاق تونس ونداء التونسيين بالخارج,5
12,12,كتلة تحيا تونس,5
13,13,كتلة الحزب الدستوري الحر,5
14,14,الكتلة الديمقراطية,5
15,15,الجبهة الشعبيّة,5
16,16,كتلة المستقبل,5
17,17,حركة النهضة,5
18,18,كتلة حزب قلب تونس,5
