,Unnamed: 0,party_id,party_name,start_date,end_date,KnessetNum,country
0,0,3,ישראל אחת,1999-06-07T00:00:00,2001-05-15T00:00:00,15,3
1,1,4,הליכוד,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
2,2,5,"ש""ס",1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
3,3,6,מרצ,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
4,4,7,האיחוד הלאומי - ישראל ביתנו,2000-02-01T00:00:00,2003-02-17T00:00:00,15,3
5,5,8,שינוי,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
6,6,9,מפלגה דתית לאומית,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
7,7,10,יהדות התורה,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
8,8,11,ישראל בעלייה,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
9,9,12,גשר,2001-03-07T00:00:00,2003-02-17T00:00:00,15,3
10,10,13,דרך חדשה,2001-03-06T00:00:00,2001-05-07T00:00:00,15,3
11,11,14,"חד""ש",1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
12,12,15,מפלגת המרכז,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
13,13,16,"רע""ם",1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
14,14,17,הבחירה הדמוקרטית,1999-10-18T00:00:00,2003-02-17T00:00:00,15,3
15,15,18,מפלגה לאומית ערבית,2001-02-19T00:00:00,2003-02-17T00:00:00,15,3
16,16,19,עם אחד,1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
17,17,20,"בל""ד",1999-06-07T00:00:00,2003-02-17T00:00:00,15,3
18,18,21,חרות - התנועה הלאומית,2000-02-01T00:00:00,2003-02-17T00:00:00,15,3
19,19,22,התנועה הערבית להתחדשות,1999-12-21T00:00:00,2003-02-17T00:00:00,15,3
20,20,23,העבודה - מימד,2001-05-15T00:00:00,2003-02-17T00:00:00,15,3
21,21,24,הליכוד,2003-02-17T00:00:00,2006-04-17T00:00:00,16,3
22,22,42,העבודה-מימד בראשות מצנע,2003-02-17T00:00:00,2005-05-23T00:00:00,16,3
23,23,43,שינוי התנועה החילונית,2003-02-17T00:00:00,2005-05-18T00:00:00,16,3
24,24,44,התאחדות הספרדים העולמית שומרי תורה,2003-02-17T00:00:00,2006-04-17T00:00:00,16,3
25,25,45,האיחוד הלאומי - ישראל ביתנו - מולדת - תקומה,2003-02-17T00:00:00,2006-02-01T00:00:00,16,3
26,26,46,מרצ - הבחירה הדמוקרטית - שחר,2003-02-17T00:00:00,2004-06-15T00:00:00,16,3
27,27,47,עם אחד בראשות עמיר פרץ,2003-02-17T00:00:00,2005-05-23T00:00:00,16,3
28,28,48,יהדות התורה והשבת אגודת ישראל - דגל התורה,2003-02-17T00:00:00,2005-01-12T00:00:00,16,3
29,29,49,מפלגה דתית לאומית,2003-02-17T00:00:00,2006-04-17T00:00:00,16,3
30,30,50,"חד""ש - תע""ל",2003-02-17T00:00:00,2006-02-07T00:00:00,16,3
31,31,51,"בל""ד (ברית לאומית דמוקרטית)",2003-02-17T00:00:00,2006-04-17T00:00:00,16,3
32,32,52,הרשימה הערבית המאוחדת,2003-02-17T00:00:00,2006-04-17T00:00:00,16,3
33,33,53,ישראל בעלייה בראשות נתן שרנסקי,2003-02-17T00:00:00,2003-03-10T00:00:00,16,3
34,34,62,יחד והבחירה הדמוקרטית,2004-06-15T00:00:00,2005-07-27T00:00:00,16,3
35,35,83,מפלגת הפועלים המאוחדת,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
36,36,85,אגודת ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
37,37,87,מפלגת פועלי ארץ ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
38,38,89,תנועת החירות,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
39,39,91,הציונים הכלליים,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
40,40,93,האיחוד הארצי של הספרדים,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
41,41,95,המפלגה הפרוגרסיבית,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
42,42,97,פועלי אגודת ישראל,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
43,43,99,המפלגה הקומוניסטית הישראלית,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
44,44,101,המזרחי ודתיים בלתי מפלגתיים,1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
45,45,103,"הסתדרות נשים ציוניות ""ויצו""",1948-02-14T00:00:00,1949-02-14T00:00:00,0,3
46,46,105,מפלגת פועלים מאוחדת,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
47,47,109,מפלגת פועלי ארץ-ישראל,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
48,48,111,רשימה דמוקרטית של נצרת,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
49,49,115,תנועת החרות,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
50,50,117,ציונים כלליים,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
51,51,119,ספרדים ועדות מזרח,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
52,52,123,מפלגה פרוגרסיבית,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
53,53,125,רשימת הלוחמים,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
54,54,129,מפלגה קומוניסטית ישראלית,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
55,55,131,חזית דתית מאוחדת,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
56,56,139,התאחדות התימנים בישראל,1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
57,57,145,"ויצ""ו",1949-02-14T00:00:00,1951-08-20T00:00:00,1,3
58,58,147,מפלגת פועלים מאוחדת,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
59,59,149,מפלגת פועלי ארץ-ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
60,60,151,רשימה דמוקרטית לערביי ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
61,61,153,תנועת החרות,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
62,62,155,ציונים כלליים,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
63,63,159,חקלאות ופיתוח,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
64,64,161,מפלגה פרוגרסיבית,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
65,65,163,אחדות העבודה - פועלי ציון,1954-08-23T00:00:00,1955-08-15T00:00:00,2,3
66,66,165,פועלי אגודת ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
67,67,167,מפלגה קומוניסטית ישראלית,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
68,68,169,מזרחי,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
69,69,171,אגודת ישראל,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
70,70,173,הפועל המזרחי,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
71,71,179,התאחדות התימנים בישראל,1951-08-20T00:00:00,1951-09-10T00:00:00,2,3
72,72,181,קידמה ועבודה,1951-08-20T00:00:00,1955-08-15T00:00:00,2,3
73,73,183,ספרדים ועדות מזרח,1951-08-20T00:00:00,1951-09-10T00:00:00,2,3
74,74,185,מפלגת פועלים מאוחדת,1955-08-15T00:00:00,1959-11-30T00:00:00,3,3
75,75,189,מפלגת פועלי ארץ-ישראל,1955-08-15T00:00:00,1959-11-30T00:00:00,3,3
76,76,191,רשימה דמוקרטית לערביי ישראל,1955-08-15T00:00:00,1959-11-30T00:00:00,3,3
