,date,file_path,debate_title,country
0,2010-03-18,Data/speeches/UK/ccess to Information (People with Disabilities) 2010-03-18.json,Access to Information (People with Disabilities),2.0
1,2010-03-11,Data/speeches/UK/ction Fraud Helpline 2010-03-11.json,Action Fraud Helpline,2.0
2,2010-03-18,Data/tmp_text_files/UK/Additional Paternity Leave Regulations 2010 2010-03-18.txt,,
3,2010-03-18,Data/speeches/UK/dditional Statutory Paternity Pay (General) Regulations 2010 2010-03-18.json,Additional Statutory Paternity Pay (General) Regulations 2010,2.0
4,2010-03-22,Data/speeches/UK/dministrative Burden (Police) 2010-03-22.json,Administrative Burden (Police),2.0
5,2010-03-18,Data/speeches/UK/griculture_ Genetically Modified Crops 2010-03-18.json,Agriculture: Genetically Modified Crops,2.0
6,2010-03-25,Data/speeches/UK/ir Quality 2010-03-25.json,Air Quality,2.0
7,2010-03-11,Data/tmp_text_files/UK/Al-Qaida and Taliban (Asset-Freezing) Regulations 2010 2010-03-11.txt,,
8,2010-03-25,Data/speeches/UK/l-Qaida and Taliban (Asset-Freezing) Regulations 2010 2010-03-25.json,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,2.0
9,2010-03-10,Data/speeches/UK/lcohol 2010-03-10.json,Alcohol,2.0
10,2010-03-18,Data/tmp_text_files/UK/Allhallows Staining Church Bill [HL] 2010-03-18.txt,,
11,2010-03-25,Data/speeches/UK/mendment of The Law 2010-03-25.json,amendment of The Law,2.0
12,2010-03-25,Data/speeches/UK/naerobic Digestion Facilities 2010-03-25.json,Anaerobic Digestion Facilities,2.0
13,2010-03-22,Data/speeches/UK/nti-Slavery Day Bill 2010-03-22.json,Anti-Slavery Day Bill,2.0
14,2010-03-24,Data/tmp_text_files/UK/Anti-Social Behaviour (Croydon) 2010-03-24.txt,,
15,2010-03-15,"Data/speeches/UK/pprenticeships, Skills, Children and Learning Act 2009 (Consequential Amendments) (England and Wales) Order 2010 2010-03-15.json","Apprenticeships, Skills, Children and Learning Act 2009 (Consequential Amendments) (England and Wales) Order 2010",2.0
16,2010-03-17,Data/speeches/UK/rmed Forces_ Journalists 2010-03-17.json,Armed Forces: Journalists,2.0
17,2010-03-10,Data/tmp_text_files/UK/Arrangement of Business 2010-03-10.txt,,
18,2010-03-11,Data/tmp_text_files/UK/Arrangement of Business 2010-03-11 (1).txt,,
19,2010-03-11,Data/tmp_text_files/UK/Arrangement of Business 2010-03-11.txt,,
20,2010-03-15,Data/tmp_text_files/UK/Arrangement of Business 2010-03-15.txt,,
21,2010-03-18,Data/tmp_text_files/UK/Arrangement of Business 2010-03-18.txt,,
22,2010-03-22,Data/tmp_text_files/UK/Arrangement of Business 2010-03-22.txt,,
23,2010-03-23,Data/tmp_text_files/UK/Arrangement of Business 2010-03-23.txt,,
24,2010-03-24,Data/tmp_text_files/UK/Arrangement of Business 2010-03-24.txt,,
25,2010-03-11,Data/speeches/UK/ssistance to Communities 2010-03-11.json,Assistance to Communities,2.0
26,2010-03-15,Data/speeches/UK/sylum Seekers_ Support Payments 2010-03-15.json,Asylum Seekers: Support Payments,2.0
27,2010-03-11,Data/speeches/UK/ack-Bench Business Committee 2010-03-11.json,Back-Bench Business Committee,2.0
28,2010-03-16,Data/speeches/UK/adman Report (Gosport) 2010-03-16.json,Badman Report (Gosport),2.0
29,2010-03-18,Data/speeches/UK/arking to Gospel Oak Line 2010-03-18.json,Barking to Gospel Oak Line,2.0
30,2010-03-11,Data/speeches/UK/arnett Formula 2010-03-11.json,Barnett Formula,2.0
31,2010-03-11,Data/speeches/UK/ellamy’s Bar 2010-03-11.json,Bellamy’s Bar,2.0
32,2010-03-16,Data/speeches/UK/ritish Airways Strike 2010-03-16.json,British Airways Strike,2.0
33,2010-03-15,Data/speeches/UK/ritish Airways_ Industrial Dispute 2010-03-15.json,British Airways: Industrial Dispute,2.0
34,2010-03-24,Data/speeches/UK/ritish High Commission in South Africa 2010-03-24.json,British High Commission in South Africa,2.0
35,2010-03-18,Data/speeches/UK/ritish Humanist Association_ Reports 2010-03-18.json,British Humanist Association: Reports,2.0
